conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Israel,ISR,35.006,29.532,31.43297864,34.9911382,211620.7764,4,1,20
Israel,ISR,35.203,31.904,31.43297864,34.9911382,56144.59227,8,0,6242
Israel,ISR,35.226,31.779,31.43297864,34.9911382,44491.68756,18,0,9966
Israel,ISR,35.25,32,31.43297864,34.9911382,67713.17294,6,0,16177
Israel,ISR,35.303,31.947,31.43297864,34.9911382,64395.70444,4,0,0
Israel,ISR,35.506,33.898,31.43297864,34.9911382,278613.0514,17,0,0
Israel,ISR,35.833,33.833,31.43297864,34.9911382,278578.4546,7,0,17041
Israel,ISR,35.834,34.437,31.43297864,34.9911382,343548.3034,1,0,0
Israel,ISR,35.933,31.95,31.43297864,34.9911382,106167.0362,21,0,16155
Israel,ISR,36,31,31.43297864,34.9911382,107460.5732,9,0,23252
Israel,ISR,36.292,33.513,31.43297864,34.9911382,261792.8313,3,0,0
Israel,ISR,37.617,55.756,31.43297864,34.9911382,2715422.787,9,0,9944
Israel,ISR,39.173,21.543,31.43297864,34.9911382,1176825.661,4,0,52
Israel,ISR,39.823,21.422,31.43297864,34.9911382,1213620.971,1,0,0
Israel,ISR,44.366,33.315,31.43297864,34.9911382,905595.9509,2,0,0
Israel,ISR,45,25,31.43297864,34.9911382,1214197.759,6,0,17062
Israel,ISR,46.717,24.633,31.43297864,34.9911382,1377168.616,27,1,16181
Israel,ISR,47.658,29.337,31.43297864,34.9911382,1237805.704,2,0,0
Israel,ISR,49.109,55.796,31.43297864,34.9911382,2928042.317,4,0,0
Israel,ISR,50.55,26,31.43297864,34.9911382,1632943.011,1,0,0
Israel,ISR,50.578,26.225,31.43297864,34.9911382,1624920.466,1,0,0
Israel,ISR,51.25,25.5,31.43297864,34.9911382,1720365.365,7,0,16155
Israel,ISR,51.389,35.689,31.43297864,34.9911382,1590879.87,8,0,9944
Israel,ISR,51.533,25.287,31.43297864,34.9911382,1756414.153,53,0,23252
Israel,ISR,54,24,31.43297864,34.9911382,2043945.386,7,0,23304
Israel,ISR,54.367,24.467,31.43297864,34.9911382,2053202.827,2,0,0
Israel,ISR,55.297,25.263,31.43297864,34.9911382,2100647.446,4,0,9966
Israel,ISR,58.38,37.938,31.43297864,34.9911382,2252810.817,1,0,0
Israel,ISR,58.592,23.614,31.43297864,34.9911382,2480735.222,4,0,16155
Israel,ISR,71.422,51.147,31.43297864,34.9911382,3695585.537,1,0,0
