"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Afghanistan","AFG","202303",-81.25,42.984,33.8187564261474,65.9259998029485,10858419.3756831,1,0,47
"Afghanistan","AFG","202410",-81.25,42.984,33.8187564261474,65.9259998029485,10858419.3756831,1,0,0
"Afghanistan","AFG","202311",-73.925,40.694,33.8187564261474,65.9259998029485,10776965.1137684,1,0,21
"Afghanistan","AFG","202312",-73.925,40.694,33.8187564261474,65.9259998029485,10776965.1137684,3,0,9
"Afghanistan","AFG","202402",-73.925,40.694,33.8187564261474,65.9259998029485,10776965.1137684,1,0,0
"Afghanistan","AFG","202404",-73.925,40.694,33.8187564261474,65.9259998029485,10776965.1137684,1,0,0
"Afghanistan","AFG","202406",-73.925,40.694,33.8187564261474,65.9259998029485,10776965.1137684,1,0,0
"Afghanistan","AFG","202302",2.352,48.857,33.8187564261474,65.9259998029485,5400849.55779367,1,0,21
"Afghanistan","AFG","202406",4.352,50.847,33.8187564261474,65.9259998029485,5238088.99449096,1,0,0
"Afghanistan","AFG","202410",4.352,50.847,33.8187564261474,65.9259998029485,5238088.99449096,1,0,0
"Afghanistan","AFG","202310",6.167,49.75,33.8187564261474,65.9259998029485,5116387.82862318,1,0,49
"Afghanistan","AFG","202405",10.739,59.913,33.8187564261474,65.9259998029485,4897922.71717208,1,0,0
"Afghanistan","AFG","202310",12.483,41.893,33.8187564261474,65.9259998029485,4705297.74236246,1,0,49
"Afghanistan","AFG","202304",16.372,48.208,33.8187564261474,65.9259998029485,4371809.07706728,1,0,52
"Afghanistan","AFG","202312",16.372,48.208,33.8187564261474,65.9259998029485,4371809.07706728,1,0,9
"Afghanistan","AFG","202406",16.372,48.208,33.8187564261474,65.9259998029485,4371809.07706728,1,0,0
"Afghanistan","AFG","202411",28.955,41.014,33.8187564261474,65.9259998029485,3338832.52033031,1,0,0
"Afghanistan","AFG","202311",37.617,55.756,33.8187564261474,65.9259998029485,3266717.51232178,1,0,21
"Afghanistan","AFG","202312",37.617,55.756,33.8187564261474,65.9259998029485,3266717.51232178,1,0,9
"Afghanistan","AFG","202410",37.617,55.756,33.8187564261474,65.9259998029485,3266717.51232178,1,0,0
"Afghanistan","AFG","202309",49.109,55.796,33.8187564261474,65.9259998029485,2767072.27179254,1,0,5
"Afghanistan","AFG","202406",51.389,35.689,33.8187564261474,65.9259998029485,1344478.19046913,1,0,0
"Afghanistan","AFG","202304",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,2,0,52
"Afghanistan","AFG","202305",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,1,0,16
"Afghanistan","AFG","202307",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,1,0,15
"Afghanistan","AFG","202402",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,5,0,0
"Afghanistan","AFG","202406",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,2,0,0
"Afghanistan","AFG","202407",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,1,0,0
"Afghanistan","AFG","202410",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,1,0,0
"Afghanistan","AFG","202411",51.533,25.287,33.8187564261474,65.9259998029485,1683766.45092185,1,0,0
